timestamp;LoadavgPercent_MIN;LoadavgPercent_MAX;LoadavgPercent_AVERAGE;ldavg-1_MIN;ldavg-1_MAX;ldavg-1_AVERAGE;ldavg-5_MIN;ldavg-5_MAX;ldavg-5_AVERAGE;ldavg-15_MIN;ldavg-15_MAX;ldavg-15_AVERAGE;runq-sz_MIN;runq-sz_MAX;runq-sz_AVERAGE;plist-sz_MIN;plist-sz_MAX;plist-sz_AVERAGE;blocked_MIN;blocked_MAX;blocked_AVERAGE
1615263000;0.11958333333;0.11958333333;0.11958333333;0.019133333333;0.019133333333;0.019133333333;0.019566666667;0.019566666667;0.019566666667;0.05;0.05;0.05;0;0;0;529.95666667;529.95666667;529.95666667;0;0;0
1615263060;0.11958333333;0.11958333333;0.11958333333;0.019133333333;0.019133333333;0.019133333333;0.019566666667;0.019566666667;0.019566666667;0.05;0.05;0.05;0;0;0;529.95666667;529.95666667;529.95666667;0;0;0
1615263120;0.11958333333;0.11958333333;0.11958333333;0.019133333333;0.019133333333;0.019133333333;0.019566666667;0.019566666667;0.019566666667;0.05;0.05;0.05;0;0;0;529.95666667;529.95666667;529.95666667;0;0;0
1615263180;0.11958333333;0.11958333333;0.11958333333;0.019133333333;0.019133333333;0.019133333333;0.019566666667;0.019566666667;0.019566666667;0.05;0.05;0.05;0;0;0;529.95666667;529.95666667;529.95666667;0;0;0
1615263240;0.005;0.005;0.005;0.0008;0.0008;0.0008;0.0104;0.0104;0.0104;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615263300;0.005;0.005;0.005;0.0008;0.0008;0.0008;0.0104;0.0104;0.0104;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615263360;0.005;0.005;0.005;0.0008;0.0008;0.0008;0.0104;0.0104;0.0104;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615263420;0.005;0.005;0.005;0.0008;0.0008;0.0008;0.0104;0.0104;0.0104;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615263480;0.005;0.005;0.005;0.0008;0.0008;0.0008;0.0104;0.0104;0.0104;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615263540;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615263600;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615263660;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615263720;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615263780;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615263840;0.18;0.18;0.18;0.0288;0.0288;0.0288;0.0196;0.0196;0.0196;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615263900;0.18;0.18;0.18;0.0288;0.0288;0.0288;0.0196;0.0196;0.0196;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615263960;0.18;0.18;0.18;0.0288;0.0288;0.0288;0.0196;0.0196;0.0196;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615264020;0.18;0.18;0.18;0.0288;0.0288;0.0288;0.0196;0.0196;0.0196;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615264080;0.18;0.18;0.18;0.0288;0.0288;0.0288;0.0196;0.0196;0.0196;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615264140;0.0075;0.0075;0.0075;0.0012;0.0012;0.0012;0.0104;0.0104;0.0104;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615264200;0.0075;0.0075;0.0075;0.0012;0.0012;0.0012;0.0104;0.0104;0.0104;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615264260;0.0075;0.0075;0.0075;0.0012;0.0012;0.0012;0.0104;0.0104;0.0104;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615264320;0.0075;0.0075;0.0075;0.0012;0.0012;0.0012;0.0104;0.0104;0.0104;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615264380;0.0075;0.0075;0.0075;0.0012;0.0012;0.0012;0.0104;0.0104;0.0104;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615264440;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615264500;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615264560;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615264620;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615264680;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615264740;0.3;0.3;0.3;0.048;0.048;0.048;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615264800;0.3;0.3;0.3;0.048;0.048;0.048;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615264860;0.3;0.3;0.3;0.048;0.048;0.048;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615264920;0.3;0.3;0.3;0.048;0.048;0.048;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615264980;0.3;0.3;0.3;0.048;0.048;0.048;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615265040;0.0125;0.0125;0.0125;0.002;0.002;0.002;0.0108;0.0108;0.0108;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615265100;0.0125;0.0125;0.0125;0.002;0.002;0.002;0.0108;0.0108;0.0108;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615265160;0.0125;0.0125;0.0125;0.002;0.002;0.002;0.0108;0.0108;0.0108;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615265220;0.0125;0.0125;0.0125;0.002;0.002;0.002;0.0108;0.0108;0.0108;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615265280;0.0125;0.0125;0.0125;0.002;0.002;0.002;0.0108;0.0108;0.0108;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615265340;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
